P1_start,P2_start,Path,P1_win,P2_win
"(0,5)","(0,5)",Player 1 1,70,70
"(0,5)","(0,5)",Player 1 1 -> Player 2 1,35,35
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1,20,20
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1,10,10
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1,6,6
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 2,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 3,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2,6,6
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 2,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 2,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 3,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 2,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 3,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 4,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2,10,10
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1,4,4
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 3,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 2,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 2,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 2,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 2,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 4,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3,4,4
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 1 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 2,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 2 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 3,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 3 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 4,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 4,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2,20,20
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1,10,10
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1,6,6
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 3,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 2,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 3,0,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 3,1,0
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2,6,6
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1,3,3
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1,2,2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1,1,1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1,0,1
